river_id,pixel_count,area_m2,area_ha,skeleton_length,linearity_index,compactness,min_row,max_row,min_col,max_col,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
3717,11905,599295.1976253175,59.92951976253175,1217,11.15387770330317,39.99160016799664,3074,3180,1445,1684,-161.98843411426748,59.84908799459376,-161.966964378977,59.85861013660543
2510,11727,590334.7150400754,59.03347150400754,2020,18.65339586007454,32.77905687729172,1931,2047,2570,2764,-161.88737364480403,59.950867116284506,-161.8699463282921,59.96128757358029
1502,11613,584595.9790023362,58.45959790023362,3017,27.99645848609629,255.34177215189874,1081,1403,10431,10970,-161.18120799995765,60.0087186205818,-161.13278880614362,60.03764437273045
3677,11366,572162.0509205677,57.21620509205677,543,5.093261843478019,30.834418440964278,2990,3097,2529,2718,-161.89105673746892,59.85654401145195,-161.87407857859904,59.866155984992034
2216,11347,571205.5949142778,57.12055949142778,2014,18.906839556204364,347.5981316647572,1689,2067,4628,5243,-161.70250035933222,59.94907048571626,-161.64725396935887,59.983026803455985
3126,11292,568436.9064750177,56.84369064750177,1960,18.44465925924127,90.33829259652852,2435,2540,375,775,-162.08455384966825,59.90658017277741,-162.04862123830347,59.916012483260666
210,11249,566272.2955134142,56.62722955134142,1266,11.936492989018086,96.52093519423948,156,294,4616,4999,-161.70357833767318,60.10834178559065,-161.6691728622914,60.1207385365115
1447,11248,566221.9557236094,56.622195572360944,1125,10.607544652566293,41.83819345661451,1043,1193,1549,1742,-161.9790916353126,60.027583241548314,-161.9617541503291,60.0410579708101
1812,11090,558268.268934462,55.826826893446196,1024,9.723758935045185,47.004869251578,1342,1519,2446,2630,-161.8985127543271,59.998298163286016,-161.8819837530993,60.01419834381493
1954,11067,557110.4537689532,55.71104537689532,2061,19.59129015763539,235.967832294208,1467,1775,9227,9727,-161.28936516016566,59.97530129201255,-161.2444493959597,60.00296940276343
56,11047,556103.6579728586,55.610365797285866,1771,16.84986338999306,36.61591382275731,26,177,13775,13942,-160.8808113689481,60.11885207441485,-160.8658095037033,60.13241663520506
190,10961,551774.4360496518,55.177443604965184,1432,13.677852910818174,156.0864884590822,146,333,7792,8259,-161.4182734034368,60.10483835598259,-161.37632207966843,60.12163685179563
2924,10731,540196.2843945638,54.019628439456376,1601,15.455079183108243,46.976050694250304,2262,2422,457,652,-162.07718766433848,59.91718029313002,-162.05967051629816,59.931553337675936
358,10698,538535.0713310076,53.85350713310076,1849,17.87662847347376,229.23499719573752,287,399,7529,8200,-161.44189909540916,60.0989094751074,-161.38162213984472,60.10897060628954
